Date,Text_Score,Sentence_Score,Net_Score,Political_Contestent,News_Agency
7/19/2015,0.302631579,0.242521368,0.060110211,Hillary Clinton,New York Times
7/20/2015,0.393442623,0.068965517,0.324477106,Hillary Clinton,New York Times
7/24/2015,-0.391304348,0.027777778,0.419082126,Hillary Clinton,New York Times
7/25/2015,-0.769230769,-0.102564103,-0.666666667,Hillary Clinton,New York Times
7/28/2015,1.076923077,0.708333333,0.368589744,Hillary Clinton,New York Times
7/28/2015,0.395348837,0.633333333,0.237984496,Hillary Clinton,New York Times
7/31/2015,0.28125,0.642857143,0.361607143,Hillary Clinton,New York Times
8/1/2015,0.268292683,0.1,0.168292683,Hillary Clinton,New York Times
8/1/2015,0.606060606,0.12745098,0.478609626,Hillary Clinton,New York Times
8/2/2015,0.371428571,-0.453703704,-0.825132275,Hillary Clinton,New York Times
8/4/2015,0.076923077,0.25,0.173076923,Hillary Clinton,New York Times
8/8/2015,0.090909091,-0.072916667,-0.163825758,Hillary Clinton,New York Times
8/9/2015,-0.342465753,-0.43627451,-0.093808756,Hillary Clinton,New York Times
8/10/2015,0.282051282,0.294372294,0.012321012,Hillary Clinton,New York Times
8/12/2015,0.947368421,-0.25,-1.197368421,Hillary Clinton,New York Times
8/14/2015,0.547169811,0.233333333,0.313836478,Hillary Clinton,New York Times
8/15/2015,0.5,0.490196078,0.009803922,Hillary Clinton,New York Times
8/16/2015,0.727272727,-0.641534392,-1.368807119,Hillary Clinton,New York Times
8/16/2015,0.698113208,0.0625,0.635613208,Hillary Clinton,New York Times
8/18/2015,0.68627451,0.815432099,0.129157589,Hillary Clinton,New York Times
8/18/2015,1.177777778,0.844444444,0.333333333,Hillary Clinton,New York Times
8/19/2015,0.702702703,1.058333333,0.355630631,Hillary Clinton,New York Times
8/20/2015,-0.245283019,-0.545454545,-0.300171527,Hillary Clinton,New York Times
8/20/2015,0.115384615,0.011333333,0.104051282,Hillary Clinton,New York Times
8/22/2015,0.441176471,-1.11E-17,-0.441176471,Hillary Clinton,New York Times
8/28/2015,0.150943396,0.18452381,0.033580413,Hillary Clinton,New York Times
8/30/2015,0.780487805,1.5,0.719512195,Hillary Clinton,New York Times
9/1/2015,0.323529412,0.9,0.576470588,Hillary Clinton,New York Times
9/1/2015,-0.413793103,-0.206349206,-0.207443897,Hillary Clinton,New York Times
9/2/2015,0,0.433333333,0.433333333,Hillary Clinton,New York Times
9/3/2015,0.230769231,0.564393939,0.333624709,Hillary Clinton,New York Times
9/5/2015,0.78125,0.342857143,0.438392857,Hillary Clinton,New York Times
9/6/2015,0.919354839,0.934343434,0.014988596,Hillary Clinton,New York Times
9/6/2015,0.916666667,0.694444444,0.222222222,Hillary Clinton,New York Times
9/8/2015,0.584615385,0.215053763,0.369561621,Hillary Clinton,New York Times
9/8/2015,-0.4375,-0.166666667,-0.270833333,Hillary Clinton,New York Times
9/9/2015,0.541666667,0.480392157,0.06127451,Hillary Clinton,New York Times
9/9/2015,0.447368421,0.427777778,0.019590643,Hillary Clinton,New York Times
9/10/2015,0.553191489,0.242424242,0.310767247,Hillary Clinton,New York Times
9/10/2015,0,-0.261904762,-0.261904762,Hillary Clinton,New York Times
9/12/2015,-0.75,-0.071428571,-0.678571429,Hillary Clinton,New York Times
9/12/2015,-0.192307692,-0.205729167,-0.013421474,Hillary Clinton,New York Times
9/23/2015,0.1,0.307692308,0.207692308,Hillary Clinton,New York Times
9/23/2015,0.4,0.277777778,0.122222222,Hillary Clinton,New York Times
9/25/2015,-0.653846154,-0.401041667,-0.252804487,Hillary Clinton,New York Times
9/26/2015,-0.230769231,-0.0625,-0.168269231,Hillary Clinton,New York Times
9/30/2015,0,0,0,Hillary Clinton,New York Times
10/1/2015,-0.133333333,-0.3,-0.166666667,Hillary Clinton,New York Times
10/1/2015,0.431818182,0.734027778,0.302209596,Hillary Clinton,New York Times
